il_x,il_y,ol_x,ol_y,cl_x,cl_y
-3.827417,4.914061,-9.545314,5.150699,-6.656124,4.564559
-3.782188,4.641379,-9.541776,6.440879,-6.559358,3.987684
-3.698186,4.383715,-9.540902,7.731142,-6.389024,3.433959
-3.579023,4.143263,-9.541947,9.021471,-5.926684,2.526658
-3.428314,3.922215,-9.544167,10.311838,-5.585128,2.061844
-3.249671,3.722764,-9.546815,11.602222,-5.191872,1.639254
-3.046708,3.547105,-9.549148,12.892595,-4.752838,1.263933
-2.823038,3.397429,-9.550419,14.182934,-4.273944,0.940921
-2.582275,3.275930,-9.549885,15.473213,-3.761109,0.675261
-2.328034,3.184802,-9.546799,16.763407,-3.220252,0.471997
-2.063927,3.126235,-9.540418,18.053490,-2.213328,0.284727
-1.793569,3.102426,-9.529996,19.343445,-2.078149,0.272822
-1.520569,3.115565,-9.514787,20.633242,-1.941649,0.279392
0.407643,3.117361,-9.418265,21.527578,-0.015469,0.273696
2.335901,3.117803,-9.209051,22.396349,1.910786,0.269394
4.264181,3.117269,-8.895285,23.230988,3.837097,0.266354
6.192476,3.116140,-8.485110,24.022942,5.763457,0.264443
8.120778,3.114796,-7.986668,24.763664,7.689843,0.263528
10.049081,3.113614,-7.408100,25.444582,9.616252,0.263478
11.977361,3.112974,-6.757550,26.057152,11.542665,0.264161
13.905618,3.113256,-6.043159,26.592810,13.469066,0.265442
15.833846,3.114841,-5.273071,27.043013,15.395449,0.267192
17.762020,3.118104,-4.455425,27.399187,17.321793,0.269277
19.690136,3.123429,-3.598365,27.652792,19.248083,0.271565
21.618183,3.131194,-2.710033,27.795261,21.879602,0.287307
21.895142,3.170963,-2.206892,27.848114,22.709192,0.443817
22.157326,3.251001,-1.705827,27.860701,23.174101,0.596237
22.402405,3.367549,-1.207788,27.835440,23.619219,0.795171
22.628063,3.516854,-0.713718,27.774765,24.333208,1.232514
22.831985,3.695157,-0.224577,27.681103,24.708620,1.541995
23.011826,3.898703,0.258701,27.556890,25.278343,2.158141
23.165276,4.123733,0.735161,27.404549,25.556299,2.562999
23.290016,4.366494,1.203858,27.226515,25.957354,3.343697
23.383713,4.623227,1.663841,27.025215,26.146416,3.941074
23.444042,4.890177,2.114163,26.803080,26.263187,4.559000
23.468700,5.163585,2.553881,26.562540,26.300987,4.941542
